fractional.publish,fractional.site,fractional.obs_time,fractional.longitude,fractional.latitude,fractional.persist,fractional.crust,fractional.dist,fractional.rock,fractional.green,fractional.dead,fractional.litter,fractional.crypto,fractional.mid_g,fractional.mid_d,fractional.mid_b,fractional.crn,fractional.over_g,fractional.over_d,fractional.over_b,fractional.num_points,fractional.unoccluded,fractional.obs_key,fractional_chips.obs_key,fractional_chips.filename,fractional_chips.timelag,fractional_chips.b1_sf_mn,fractional_chips.b2_sf_mn,fractional_chips.b3_sf_mn,fractional_chips.b4_sf_mn,fractional_chips.b5_sf_mn,fractional_chips.b6_sf_mn,fractional_chips.b1_sf_sd,fractional_chips.b2_sf_sd,fractional_chips.b3_sf_sd,fractional_chips.b4_sf_sd,fractional_chips.b5_sf_sd,fractional_chips.b6_sf_sd,fractional_chips.b1_fc_mn,fractional_chips.b2_fc_mn,fractional_chips.b3_fc_mn,fractional_chips.b4_fc_mn,fractional_chips.b1_fc_sd,fractional_chips.b2_fc_sd,fractional_chips.b3_fc_sd,fractional_chips.b4_fc_sd,fractional_chips.count
y,tas006,7/12/2011,147.4487292,-42.17966521,0,13.67,0,1.67,44.33,29.33,11,0,0,0,0,0,0,0,0,300,300,14744873_04217967_20111207_000000,14744873_04217967_20111207_000000,l7tmre_p090r089_20111201_dbgm5.img,6,355.1111111,643,803.8888889,2801.555556,2552.888889,1459.333333,18.39954374,18.01234145,30.89927883,31.56337931,72.80482958,50.41163887,105,155.3333333,138.1111111,113.2222222,0.942809042,2.260776661,2.233305694,113.2222222,9
y,sa_e_saal_23,24/04/2012,139.975014,-31.389277,9.33,33.33,2.33,0.33,11.67,16.67,27.33,8.33,9.33,2,8.33,0,0,0,0,300,300,13997501_03138928_20120424_000000,13997501_03138928_20120424_000000,l7tmre_p097r082_20120425_dbgm4.img,1,518.4444444,834.7777778,1329.111111,1947,3060.333333,2508.888889,51.25776063,32.4509126,59.12217941,61.65315167,127.6853772,104.7011031,135.8888889,108.1111111,154.5555556,110.4444444,3.695175366,1.099943882,3.499559055,110.4444444,9
n,vic105,10/01/2013,143.9855651,-36.82863304,0,0,8.5,0,0,24.5,67,0,0,0,0,0,0,0,0,200,200,14398557_03682863_20130110_000000,14398557_03682863_20130110_000000,l7tmre_p093r086_20130110_dbgm5.img,0,853.4444444,1413.222222,2076.777778,2962.888889,3413.888889,2319.777778,25.02936547,37.08781704,44.95127678,45.84622714,68.65282133,52.76736739,121.1111111,106.1111111,171.4444444,107.2222222,1.968893905,0.737027731,2.629368792,107.2222222,9
y,sa_e_saal_1a,12/05/2011,138.238179,-30.861235,9.33,31,1.33,52.33,2,1.33,12,0,9.33,4,2.33,0,0,0,0,300,300,13823818_03086124_20110512_000000,13823818_03086124_20110512_000000,l7tmre_p098r081_20110516_dbgm4.img,4,579.6666667,979.3333333,1440.444444,2093.888889,2231.111111,2002,51.20763832,48.55237722,64.09214046,90.63043939,105.2620481,141.9538266,167.5555556,114.8888889,116,110.5555556,6.601533679,2.233305694,5.734883511,110.5555556,9
y,sa_w_saal_07,15/04/2011,134.688957,-27.913389,5.33,12,0,64.67,6.67,10.67,5,1,5.33,4.33,1.33,0,0,0,0,300,300,13468896_02791339_20110415_000000,13468896_02791339_20110415_000000,l5tmre_p101r079_20110411_dbgm3.img,4,605.5555556,1155.222222,1693.666667,2555.888889,3339,2592.888889,15.18120996,18.46785663,40.13588032,117.2219589,83.80930736,83.87085899,136.7777778,112.2222222,149.3333333,108,2.528845928,2.973130702,3.858612301,108,9
n,vic176,13/02/2014,141.9849,-35.2086,0,1,23,0,0,11,65,0,0,0,0,0,0,0,0,200,200,14198492_03520863_20140213_000000,14198492_03520863_20140213_000000,l7tmre_p095r084_20140212_dbgm4.img,1,984.6666667,1378.555556,1903.555556,2539,3782.555556,2879.111111,25.13519003,33.21683345,20.10036545,19.81021061,69.87466734,76.83957956,130.8888889,102.4444444,165.2222222,107,3.664982778,0.831479419,4.049081591,107,9
n,sa_samdb_06,30/03/2012,140.483522,-34.552194,0,41,0.5,0.5,3.5,0,54.5,0,0,0,0,0,0,0,0,200,200,14048352_03455219_20120330_000000,14048352_03455219_20120330_000000,l7tmre_p096r084_20120402_dbgm4.img,3,649.6666667,1008.777778,1481.111111,2215.444444,3397.333333,2676.222222,24.79247198,40.59495803,45.36627344,38.74162594,100.3349944,84.09224799,130.8888889,109.3333333,158.3333333,109,2.514157444,0.942809042,2.708012802,109,9
y,nsw035,19/06/2011,143.630919,-31.50399,0,22.33,0.33,0,3,38.33,36,0,0,0,0,0,0,0,0,300,300,14363092_03150399_20110619_000000,14363092_03150399_20110619_000000,l7tmre_p095r082_20110612_dbgm4.img,7,561.4444444,823.7777778,1144.666667,1937.444444,2407.666667,1615.444444,53.05366489,52.13823033,53.31249593,38.66985938,63.36139729,59.65104285,119.2222222,117.1111111,162.6666667,112,5.028314888,3.695175366,5.57773351,112,9
y,wa_pilb_028,25/08/2011,120.218683,-20.040966,0.33,33,0.67,0,28.67,28.67,9,0,0.33,0,0,0,0,0,0,300,300,12021868_02004097_20110825_000000,12021868_02004097_20110825_000000,l7tmre_p112r074_20110822_dbgm0.img,3,565.4444444,889.1111111,1364.333333,2604.444444,2843.222222,2144.777778,24.0790878,18.1012243,28.41361176,54.94261878,57.01808247,45.81794354,129.8888889,126.4444444,142.3333333,110,1.662958839,1.342560664,2.357022604,110,9
y,sa_aw_05,2/12/2012,130.8020831,-30.21618699,1.33,11,0,20.67,0,20.33,31.67,16.33,1.33,1.67,9,0,0,0,0,300,300,13080208_03021619_20121202_000000,13080208_03021619_20121202_000000,l7tmre_p103r081_20121129_dbgm2.img,3,598,997.2222222,1564.777778,2173.777778,3421.111111,2691.444444,14.93690433,23.882945,32.20689291,46.20432346,52.0223124,38.11418841,134.7777778,104.5555556,159.1111111,109,1.314684396,0.684934889,1.19670329,109,9
y,sa_w_saal_35a,4/12/2012,135.491013,-30.29011313,8,57.33,0,19.33,0.33,0.67,22.33,0,8,0.33,8.67,0,0,0,0,300,300,13549101_03029011_20121204_000000,13549101_03029011_20121204_000000,l7tmre_p100r081_20121210_dbgm3.img,6,714.6666667,1193.444444,2049.777778,2747.111111,3739.444444,3350.777778,19.04380914,51.01440126,65.97942066,79.43752884,76.56531142,77.97261311,163.1111111,107.2222222,128.3333333,107,2.233305694,0.916245695,2.108185107,107,9
n,vic163,23/01/2014,142.4806,-35.4627,0,36,0,0.5,0,8,55.5,0,0,0,0,0,0,0,0,200,200,14248057_03546271_20140123_000000,14248057_03546271_20140123_000000,l7tmre_p094r085_20140120_dbgm4.img,3,798.6666667,1309.444444,1953.222222,2668.444444,3927.444444,3197,38.69826295,54.57535282,68.09760606,76.48835948,72.22358973,66.43794097,145,104,149.2222222,107.1111111,2.708012802,0.816496581,2.657391276,107.1111111,9
y,nsw063,20/04/2012,142.031416,-29.300243,0,22.33,0.33,16,21.33,30,10,0,0,0,0,0,0,0,0,300,300,14203142_02930024_20120420_000000,14203142_02930024_20120420_000000,l7tmre_p096r080_20120418_dbgm4.img,2,737,1188.666667,1613.888889,2483.111111,2905.111111,2229.111111,23.18524435,28.94822965,72.78193372,85.22707505,105.5550877,82.57850735,138.3333333,114.7777778,145.5555556,108.7777778,2.160246899,1.98761598,2.629368792,108.7777778,9
y,kal_wa_049,30/05/2011,121.321408,-30.79041,12.65,46.99,0.38,0,1.5,1.5,37.59,12.03,3,3.33,5,17.67,9.67,3,5,300,266,12132141_03079041_20110530_000000,12132141_03079041_20110530_000000,l5tmre_p109r081_20110403_dbgm1.img,57,323.3333333,585,979.8888889,1714.111111,2489.333333,2051.777778,25.75525836,50.00444425,76.21817288,89.99190636,45.37742953,86.2345352,130.5555556,119.3333333,148.4444444,113.3333333,3.531166352,2.108185107,3.269764215,0.666666667,9
y,wa_murc_121,27/09/2012,118.2936673,-26.10652873,1.67,7,41,19.67,0.67,15,15.33,1.33,1.67,0,1,0,0,0,0,300,300,11829367_02610653_20120927_000000,11829367_02610653_20120927_000000,l7tmre_p112r078_20121011_dbgm0.img,14,532.4444444,953.2222222,1896.777778,2556.666667,4133.333333,3227,19.16658615,31.43168174,79.37502795,85.94959763,166.2334369,154.1745043,144.2222222,105.3333333,148.7777778,107.7777778,2.346523565,0.816496581,1.812167381,107.7777778,9
y,vic003,29/03/2011,144.065885,-36.826948,32.99,7.33,0.33,0,5.67,1.67,80.67,4.33,0.33,0,0,52,27.33,0,16.67,300,300,14406589_03682695_20110329_000000,14406589_03682695_20110329_000000,l7tmre_p093r086_20110326_dbgm5.img,3,358.5555556,497,661.6666667,2142.777778,1886,1244.222222,42.23771646,64.32728814,91.07506062,99.20100557,197.2133644,254.2019223,108.7777778,146.3333333,143.5555556,116.4444444,2.484519975,3.018461713,2.114033066,116.4444444,9
y,wa_gas_036,19/10/2011,114.3344,-25.7596,1.99,22,0.33,6,25.33,24.33,19,3,0.67,0,1,4,1.33,0,0,300,300,11433437_02575962_20111019_000000,11433437_02575962_20111019_000000,l5tmre_p114r078_20111015_dbgm0.img,4,525.7777778,870.2222222,1233.111111,2063.444444,3289.888889,2660,16.13676119,27.93555193,26.7434081,52.53593714,103.5325439,105.3238392,124.6666667,114.8888889,159,110,1.943650632,1.448711646,1.763834207,110,9
y,nt005,24/05/2011,130.7414005,-13.18525631,4.48,27.42,0,11.71,9.36,3.68,31.77,16.05,0,2,1,15.33,4.33,0.33,3.33,300,299,13074140_01318526_20110524_000000,13074140_01318526_20110524_000000,l7tmre_p106r069_20110508_dbgm2.img,16,503.2222222,701,898.6666667,1548.222222,2295.777778,1864.777778,28.59206486,23.02655472,46.53314231,82.15402577,109.8501786,81.95225951,127.3333333,115.1111111,155.7777778,113.5555556,3.62092683,1.662958839,2.779999112,113.5555556,9
y,vic034_3,16/02/2012,144.0049503,-36.75850314,0,0,0.33,0,0,75.33,23.67,0.67,0,0,0,0,0,0,0,300,300,14400495_03675850_20120216_000000,14400495_03675850_20120216_000000,l7tmre_p093r086_20120225_dbgm5.img,9,573.1111111,818.1111111,1140.111111,1795.666667,3180.333333,1967.666667,11.17978776,18.16250377,30.70448554,38.68964834,45.39946157,26.70830083,101,110.4444444,188.1111111,111.2222222,1.885618083,2.266230895,1.728483243,111.2222222,9
y,vic153,21/01/2014,142.943,-35.4865,0,0,15.5,0,0,31,53.5,0,0,0,0,0,0,0,0,200,200,14294295_03548648_20140121_000000,14294295_03548648_20140121_000000,l7tmre_p094r085_20140120_dbgm4.img,1,833.8888889,1257,1798.333333,2467.333333,3832.333333,2998.111111,12.21514947,17.30767331,32.96799795,54.85941629,61.70359255,73.71784714,134.3333333,103.3333333,160.8888889,107.8888889,2.40370085,1.247219129,2.601044425,107.8888889,9
y,wa_gas_030,18/10/2011,114.0429,-24.3555,0,67.67,32.33,0,0,0,0,0,0,0,0,0,0,0,0,300,300,11404294_02435553_20111018_000000,11404294_02435553_20111018_000000,l7tmre_p115r077_20111014_dbgm49.img,4,796.5555556,1480.777778,2585.222222,3414.777778,4220,3334.888889,45.65842045,78.7933694,101.7980329,135.2395223,131.7767472,143.4499095,154.1111111,106.6666667,137.6666667,105.8888889,4.581228473,1.414213562,5.57773351,0.314269681,9
y,agr_wa_044,17/05/2011,115.483382,-28.402147,0.33,0,19.33,13,0.33,5.33,46,16,0.33,0,0,0,0,0,0,300,300,11548338_02840215_20110517_000000,11548338_02840215_20110517_000000,l5tmre_p113r080_20110501_dbgm0.img,16,766.1111111,1494.444444,2370.555556,3326.222222,5179,3800.333333,46.53897875,77.08885366,96.85167481,124.6530989,140.7519489,97.71159376,141.4444444,104.7777778,152,105.6666667,3.531166352,0.628539361,3.527668415,105.6666667,9
y,wa_kim_010,20/09/2011,127.6650098,-17.61065417,0,6.67,22.33,1.67,7,13.33,48.33,0.67,0,0,0,0.33,0,0,0,300,300,12766501_01761065_20110920_000000,12766501_01761065_20110920_000000,l7tmre_p107r072_20110920_dbgm2.img,0,652.6666667,1014.333333,1563.888889,2461.777778,3055.111111,2279.111111,16.85889149,37.72119946,33.28144109,77.67850808,92.60242911,89.40723864,133.1111111,114.5555556,151.1111111,109,3.871389198,1.165343165,3.572874487,109,9
y,wa_kim_004,13/07/2011,128.557155,-15.535299,0,20,3.67,0,9.33,23.33,43.67,0,0,0,0,0,0,0,0,300,300,12855716_01553530_20110713_000000,12855716_01553530_20110713_000000,l7tmre_p107r071_20110718_dbgm2.img,5,762.3333333,1130.555556,1550.333333,2696.555556,3135.666667,2060.222222,29.39765675,17.7019215,22.25608531,62.22559515,65.90228457,61.38363477,115.2222222,119.7777778,163.8888889,109,4.755763235,0.916245695,4.886362984,109,9
y,wa_yalgoo07,25/06/2014,116.1554,-27.9397,2.36,47.67,0,41.67,4,0,4,2.67,0,0,0,4,2.33,0.33,1.33,300,300,11615541_02793974_20140625_000000,11615541_02793974_20140625_000000,l7tmre_p113r079_20140618_dbgm0.img,7,396.7777778,767.2222222,1351.777778,2042.111111,3254.888889,2120.888889,40.59495803,47.8650366,74.81351301,129.4187385,169.6371582,117.7053236,119.7777778,108.4444444,170.6666667,110.7777778,6.595920924,3.022549002,6.429100507,110.7777778,9
y,sa_w_saal_14,12/04/2011,134.464686,-27.109875,6.55,24.33,1.67,0,36.33,17.33,20.33,0,0.33,1,0,10.33,6,0.33,4,300,300,13446469_02710988_20110412_000000,13446469_02710988_20110412_000000,l5tmre_p101r079_20110411_dbgm3.img,1,454,883.8888889,1322.555556,2429.333333,3168.888889,2260.111111,31.98958164,19.63242468,37.37233413,86.39187205,59.8933208,78.92252804,120.5555556,123.6666667,154.4444444,110,2.948110925,2.666666667,3.130889512,110,9
y,wa_pilb_021,23/08/2011,117.117595,-21.611644,0.33,11.67,1,42,20.67,16,3.33,5.33,0,0,0.33,0.33,0.33,0,0,300,300,11711760_02161164_20110823_000000,11711760_02161164_20110823_000000,l7tmre_p113r075_20110829_dbgm0.img,6,607.7777778,1032.888889,1601.777778,2379.777778,2999.888889,2224.111111,72.69843003,123.6926697,245.1438479,288.0635647,404.8992864,316.4070671,134.3333333,110.7777778,153.3333333,109.3333333,3.16227766,2.393406581,2.160246899,109.3333333,9
y,wa_gas_038a,20/10/2011,114.4676,-25.7485,0.33,10.33,8.67,0,7.33,22,19.33,32.33,0.33,0,0,0,0,0,0,300,300,11446765_02574846_20111020_000000,11446765_02574846_20111020_000000,l5tmre_p114r078_20111015_dbgm0.img,5,501.4444444,927.1111111,1399.777778,2341.333333,3744.222222,3132.444444,17.73954222,20.69054773,62.76902594,88.46970605,102.8524053,141.5353204,129.7777778,114.6666667,154.1111111,108.8888889,3.48895966,0.816496581,3.413842555,108.8888889,9
y,vic161,23/01/2014,142.4283,-35.3406,0,5.5,25,0,2.5,18,49,0,0,0,0,0,0,0,0,200,200,14242832_03534062_20140123_000000,14242832_03534062_20140123_000000,l7tmre_p094r085_20140120_dbgm4.img,3,930.5555556,1479.444444,2126.555556,3007.111111,4279.555556,3450.444444,35.18557505,44.48997668,43.77749577,73.99766429,90.577298,103.5751055,147.8888889,106.7777778,143.5555556,106.1111111,3.664982778,0.785674201,4.00308523,106.1111111,9
n,vic162,23/01/2014,142.4389,-35.4378,0,30,1,0,0,13.5,55.5,0,0,0,0,0,0,0,0,200,200,14243886_03543784_20140123_000000,14243886_03543784_20140123_000000,l7tmre_p094r085_20140120_dbgm4.img,3,956,1496.555556,2106.777778,2888.222222,4018.666667,3139.777778,21.47349788,46.8996828,72.28766266,98.53118827,122.8847699,143.5206356,140.7777778,105.5555556,152.3333333,106.4444444,4.157397096,0.684934889,4.268749492,106.4444444,9
y,wa_agr_060,27/06/2012,118.2230151,-31.47883169,0,0,54.5,16,24,0,5.5,0,0,0,0,0,0,0,0,200,200,11822302_03147883_20120627_000000,11822302_03147883_20120627_000000,l7tmre_p111r082_20120630_dbgm0.img,3,654.1111111,1137.555556,1543,2012.555556,3156.555556,2230.222222,57.77243565,67.36156357,61.10282772,87.46060842,201.7562397,126.4654347,116.5555556,100.7777778,181.6666667,109.3333333,8.590836347,1.314684396,8.956685895,109.3333333,9
y,wa_074,12/07/2012,122.797065,-32.03515166,0,14,23.33,0,31,7.33,22.33,2,0,0,0,0,0,0,0,300,300,12279707_03203515_20120712_000000,12279707_03203515_20120712_000000,l7tmre_p108r082_20120727_dbgm1.img,15,336.8888889,612.5555556,1162.777778,2171.888889,2904,2492.555556,29.37286898,54.77653819,82.15132078,130.7826394,256.5081762,200.075603,124.7777778,127.1111111,146.4444444,111.2222222,3.359159213,1.968893905,2.362254625,111.2222222,9
y,vic033_2,17/02/2012,143.9776296,-36.82692182,0,0,15,0,0.5,27,57.5,0,0,0,0,0,0,0,0,200,200,14397763_03682692_20120217_000000,14397763_03682692_20120217_000000,l7tmre_p094r085_20120216_dbgm4.img,1,710.5555556,972.2222222,1371.111111,1896.444444,2700.111111,1737.444444,46.86650335,90.36933818,141.1125984,173.001677,325.4847477,243.5597627,110.3333333,102.5555556,186.2222222,111.1111111,3.590109871,1.832491389,3.93778781,111.1111111,9
y,vic032_2,1/02/2012,144.1318862,-36.45925358,0,0,81.67,0,2.33,0.67,15.33,0,0,0,0,0,0,0,0,300,300,14413189_03645925_20120201_000000,14413189_03645925_20120201_000000,l7tmre_p093r085_20120124_dbgm5.img,8,824.5555556,1248.444444,1711.222222,2431.666667,3639.111111,3199.222222,22.98845658,20.06717115,26.28805296,19.67513942,54.18988107,50.30524112,149.3333333,105.4444444,143.6666667,108,1.763834207,1.065740339,1.699673171,108,9
y,wa_065,10/07/2012,127.8526462,-31.86365704,9,13,5,1.33,11,28.33,28,13.33,9,0,3.33,0,0,0,0,300,300,12785265_03186366_20120710_000000,12785265_03186366_20120710_000000,l7tmre_p105r082_20120722_dbgm2.img,12,570.6666667,817.8888889,1117,1811.333333,3237.666667,2381.888889,38.0584346,48.09121991,69.81722169,65.48451895,117.815298,92.69836921,113,111.5555556,173.8888889,111.1111111,4.594682917,2.362254625,4.094561283,111.1111111,9
n,sa_samdb_01,10/05/2011,140.691722,-34.289149,0,33,0.5,0,2,6.5,58,0,0,0,0,0,0,0,0,200,200,14069172_03428915_20110510_000000,14069172_03428915_20110510_000000,l5tmre_p096r084_20110424_dbgm4.img,16,625.4444444,1051.444444,1531.888889,2088.111111,3758.333333,2976,42.51826042,42.32181237,60.13215898,55.26189051,102.7791592,142.0054772,128.8888889,100.4444444,169.4444444,108.7777778,4.771313456,0.955813919,4.96903995,108.7777778,9
y,vic001,28/03/2011,143.950568,-36.820139,0,28.5,0,0,1.5,24,45,1,0,0,0,0,0,0,0,200,200,14395057_03682014_20110328_000000,14395057_03682014_20110328_000000,l7tmre_p093r086_20110326_dbgm5.img,2,446.1111111,587.1111111,890,1703.444444,2646.222222,2274,29.19834259,24.33764548,35.33018854,50.20427408,78.00538126,105.2615789,120.7777778,121,156.7777778,113,2.897423291,3.299831646,1.749779528,113,9
y,sa_w_saal_12,13/04/2011,134.425185,-27.118612,6.29,27,0.67,0,28.67,27,16.67,0,6.33,0.67,0.67,0.67,0,0,0.67,300,300,13442519_02711861_20110413_000000,13442519_02711861_20110413_000000,l5tmre_p101r079_20110411_dbgm3.img,2,467.3333333,918.7777778,1495.777778,2690.111111,3393.888889,2573.555556,25.04218663,48.40518287,90.96003735,154.3649676,209.171086,189.8163505,129,123.3333333,146.1111111,108.8888889,3.018461713,1.885618083,3.107140323,108.8888889,9
y,nsw010,9/06/2011,147.914377,-31.867927,0,0,0,0,16.67,79,4.33,0,0,0,0,0,0,0,0,300,300,14791438_03186793_20110609_000000,14791438_03186793_20110609_000000,l7tmre_p092r082_20110708_dbgm5.img,29,682.6666667,835.8888889,1032.777778,2243.777778,2829.111111,1663.888889,28.44487847,41.29687759,38.68326591,96.39591713,69.57241542,62.40449493,101.4444444,134.7777778,163.1111111,111.6666667,1.949992086,4.157397096,5.173531879,0.471404521,9
y,mtd02,26/07/2012,131.0585158,-22.36138312,0,10.67,58.33,0,20,5.33,5.67,0,0,0,0.33,0.33,0,0.33,0,300,300,13105852_02236138_20120726_000000,13105852_02236138_20120726_000000,l7tmre_p104r075_20120731_dbgm2.img,5,501.3333333,1116.888889,2116.333333,3141,3764,3330.444444,52.77204647,76.19046958,198.9768272,220.6837858,369.656898,415.5978588,160.5555556,117.7777778,120.2222222,107.1111111,6.78415001,1.030402055,6.811392055,107.1111111,9
y,sa_e_saal_9a,9/05/2011,138.537579,-28.826048,1.67,33,1.33,54,2,3.67,6,0,1.67,0.33,1,0,0,0,0,300,300,13853758_02882605_20110509_000000,13853758_02882605_20110509_000000,l7tmre_p098r080_20110516_dbgm4.img,7,736.5555556,1244.444444,2176.444444,2869.444444,4049.111111,3692.555556,41.61493084,100.434734,146.6591749,143.3706239,161.8005936,149.9682271,167.8888889,105.6666667,125,106.6666667,5.258737585,2.309401077,3.887301263,106.6666667,9
n,ntvmh17a,25/05/2014,133.3242,-15.6017,26.05,0,5.33,0.67,16.67,42,35.33,0,14,1.67,6.33,17.33,14,0,2,300,300,13332418_01560173_20140525_000000,13332418_01560173_20140525_000000,l8olre_p104r071_20140526_dbgm3.img,1,399.5555556,598.4444444,756.8888889,2134.333333,2253.888889,1326.555556,12.4909844,17.80206674,26.73509738,58.88972746,37.33167986,31.8821131,104.6666667,142.5555556,151.5555556,114.3333333,0.816496581,1.165343165,1.165343165,114.3333333,9
y,braemar1001,28/07/2010,139.29235,-33.07257,9.84,36.49,5.74,12.5,1.01,0,20.27,23.99,8.67,4,2.33,4,1.33,0,0.67,300,296,13929235_03307257_20100728_000000,13929235_03307257_20100728_000000,l7tmre_p097r083_20100725_dbgm4.img,3,536.5555556,832.3333333,1220.333333,1800.777778,2196,1823.666667,36.83630791,27.46310657,41.03115348,45.95596389,68.95409101,72.51972912,150.4444444,112,136,112,4.192880503,1.56347192,3.431876714,112,9
y,goon1101,22/09/2011,150.3151933,-28.19803044,0,22.5,0,0,0,28,49,0.5,0,0,0,0,0,0,0,200,200,15031519_02819785_20110922_000000,15031519_02819785_20110922_000000,l7tmre_p091r079_20110919_dbgm6.img,3,989.4444444,1152.555556,1354.111111,1920.777778,3294.555556,2629.222222,10.16651487,13.71220957,26.73925306,19.60599556,39.49433465,35.96843609,122.3333333,103.6666667,172.5555556,109,1.885618083,1.825741858,2.712567915,109,9
n,vic106,10/01/2013,143.9136852,-36.89317279,0,0,10,0,0,5.5,84.5,0,0,0,0,0,0,0,0,200,200,14391369_03689317_20130110_000000,14391369_03689317_20130110_000000,l7tmre_p093r086_20130110_dbgm5.img,0,1106.222222,1850.777778,2727,3784.111111,4073.111111,2827.222222,29.6976534,22.43894322,34.78505426,52.93065578,42.24911424,32.1585578,120.4444444,106.5555556,171,105.3333333,2.910177967,0.831479419,3.231786572,105.3333333,9
y,wa_murc_097,11/09/2012,117.6892299,-27.97080023,1,36.33,28.33,8.67,2.67,14,8,2,1,0,0.33,0,0,0,0,300,300,11768923_02797080_20120911_000000,11768923_02797080_20120911_000000,l7tmre_p112r079_20120909_dbgm0.img,2,874.2222222,1606.333333,2714.666667,3431.222222,4768.555556,3738.444444,49.59564895,72.18956527,161.0955548,128.2998032,232.0493775,199.4186613,154,101.5555556,142.6666667,105.1111111,4.320493799,1.832491389,3.771236166,105.1111111,9
y,wa_w_kim_078,27/08/2012,123.4571656,-17.66398964,0,8.33,0.67,0,0.33,37.33,52.67,0.67,0,0,0,0,0,0,0,300,300,12345717_01766399_20120827_000000,12345717_01766399_20120827_000000,l7tmre_p110r072_20120826_dbgm1.img,1,786.8888889,1205.222222,1749.111111,2697.333333,3622.444444,2615.333333,35.66026249,59.19793123,63.16371048,28.48391359,68.54862202,142.2907821,126.5555556,112.7777778,159.3333333,107.8888889,6.668518261,1.812167381,4.898979486,107.8888889,9
y,wa008,13/10/2010,122.033913,-30.852763,8,37.12,7.02,8.03,0,1,26.09,20.74,8,1,8,0,0,0,0,300,299,12203391_03085276_20101013_000000,12203391_03085276_20101013_000000,l5tmre_p109r081_20101009_dbgm1.img,4,546.6666667,1138.111111,1879.666667,2633.444444,3896.555556,3442.222222,16.30269235,20.19045123,28.41752198,19.3282241,75.51175201,56.43241342,154.1111111,106.4444444,138.1111111,107.1111111,3.071172214,0.955813919,2.845832994,107.1111111,9
y,tas004,1/04/2011,147.360039,-42.104053,0,44,3.5,0,11,21,20.5,0,0,0,0,0,0,0,0,200,200,14736004_04210405_20110401_000000,14736004_04210405_20110401_000000,l7tmre_p090r089_20110320_dbgm5.img,12,739.4444444,963,1373.666667,2379.666667,2705.333333,1702.666667,47.66109784,35.36790761,40.46672158,150.535341,150.1118102,80.57708525,113.5555556,116.8888889,168.4444444,110.4444444,4.030746033,2.469567863,3.499559055,110.4444444,9
y,nsw089,19/10/2012,148.0409701,-29.48134818,0,4.67,1.33,0,13,56.67,24.33,0,0,0,0,0,0,0,0,300,300,14804097_02948135_20121019_000000,14804097_02948135_20121019_000000,l7tmre_p092r080_20121014_dbgm5.img,5,555.8888889,761.4444444,967.8888889,1953.777778,2377.666667,1745.555556,23.0190474,28.85639198,30.29647741,46.7541508,89.04555638,100.2686515,120.7777778,128.3333333,149.2222222,112.6666667,1.98761598,1.490711985,3.0469576,112.6666667,9
y,nsw037,19/06/2011,143.810271,-31.462508,0,9.33,2.33,0,65.33,21.33,1.67,0,0,0,0,0,0,0,0,300,300,14381027_03146251_20110619_000000,14381027_03146251_20110619_000000,l7tmre_p094r082_20110707_dbgm5.img,18,241.5555556,528,451.2222222,3659.555556,1656.111111,737.1111111,40.41757349,41.69998668,46.85385737,147.8077664,55.82600836,85.73012493,104.5555556,174.4444444,119.5555556,118.2222222,4.621474298,8.693690063,11.47084334,118.2222222,9
y,wa_w_kim_093,30/08/2012,125.979515,-18.79461427,0,12.33,6,0,3.67,38,39.33,0.67,0,0,0,0,0,0,0,300,300,12597951_01879461_20120830_000000,12597951_01879461_20120830_000000,l7tmre_p108r073_20120828_dbgm2.img,2,713.5555556,1233,1900.666667,2824.666667,3248.111111,2819.555556,21.63387832,43.36921591,95.80303869,103.9561874,148.9887725,184.0115402,158.6666667,114.8888889,124.7777778,107.5555556,4.242640687,0.874889764,4.157397096,107.5555556,9
y,sa_aw_02,30/11/2012,130.4846864,-31.32132235,2.33,17,2,0,0,20.67,27,33.33,2.33,0.33,10.33,0,0,0,0,300,300,13048469_03132132_20121130_000000,13048469_03132132_20121130_000000,l7tmre_p103r082_20121129_dbgm2.img,1,621.1111111,952.5555556,1371.222222,1995,3149.222222,2521.333333,8.582209563,11.17647441,42.15520998,42.95992965,34.25647636,60.02962232,131.4444444,107,160.2222222,110,2.985561965,1.054092553,2.739739557,110,9
y,nsw083,17/10/2012,144.818577,-30.68761197,0,3.67,0,0,3.67,55.33,37.33,0,0,0,0,0,0,0,0,300,300,14481858_03068761_20121017_000000,14481858_03068761_20121017_000000,l7tmre_p094r081_20121013_dbgm5.img,4,778.5555556,1138.111111,1500.333333,2805.777778,2693.222222,1772.666667,53.27728536,23.19695595,89.65365457,131.1231633,174.7040531,194.1162309,120.8888889,123.5555556,154.3333333,109.4444444,3.928371007,5.519885488,4.242640687,109.4444444,9
n,und01,8/06/2012,133.9936298,-23.77055029,6.42,1,21,0.67,11,43.67,22.67,0,0,0,0,15.33,6.33,3.33,1.33,300,300,13399363_02377055_20120608_000000,13399363_02377055_20120608_000000,l7tmre_p102r076_20120530_dbgm3.img,9,441.8888889,623,897,1613.333333,2419.444444,1787.666667,34.62319211,79.95276383,94.06617056,121.0133142,191.411779,194.5450533,119.5555556,119.3333333,159.7777778,114,5.314782552,1.490711985,4.961580792,114,9
