fractional.publish,fractional.site,fractional.obs_time,fractional.longitude,fractional.latitude,fractional.persist,fractional.crust,fractional.dist,fractional.rock,fractional.green,fractional.dead,fractional.litter,fractional.crypto,fractional.mid_g,fractional.mid_d,fractional.mid_b,fractional.crn,fractional.over_g,fractional.over_d,fractional.over_b,fractional.num_points,fractional.unoccluded,fractional.obs_key,fractional_chips.obs_key,fractional_chips.filename,fractional_chips.timelag,fractional_chips.b1_sf_mn,fractional_chips.b2_sf_mn,fractional_chips.b3_sf_mn,fractional_chips.b4_sf_mn,fractional_chips.b5_sf_mn,fractional_chips.b6_sf_mn,fractional_chips.b1_sf_sd,fractional_chips.b2_sf_sd,fractional_chips.b3_sf_sd,fractional_chips.b4_sf_sd,fractional_chips.b5_sf_sd,fractional_chips.b6_sf_sd,fractional_chips.b1_fc_mn,fractional_chips.b2_fc_mn,fractional_chips.b3_fc_mn,fractional_chips.b4_fc_mn,fractional_chips.b1_fc_sd,fractional_chips.b2_fc_sd,fractional_chips.b3_fc_sd,fractional_chips.b4_fc_sd,fractional_chips.count
y,chatc154,26/02/1998,145.6700203,-19.69103445,0,21.2,0,3.8,58.3,16.2,0.4,0,0,0,0,0,0,0,0,240,240,14567002_01969103_19980226_000007,14567002_01969103_19980226_000007,l5tmre_p095r074_19980311_dbgm5.img,13,417,652,589,2767.444444,1742.888889,890.4444444,21.18699811,13.26649916,23.44734053,74.0286898,62.12969311,30.93401979,108.2222222,167.7777778,122.4444444,116.1111111,2.484519975,2.572408201,3.370166864,116.1111111,9
y,vic2017045,17/03/2017,142.93919,-36.43525,0,0,17,0,0,1,82,0,0,0,0,0,0,0,0,200,200,14293919_03643525_20170316_000000,14293919_03643525_20170316_000000,l7tmre_p094r085_20170317_dbgm4.img,0,782,1141.777778,1653.444444,2577.333333,3848.555556,2621.333333,21.46314671,23.85501474,26.36121356,32.73462319,60.5440356,41.69998668,115.2222222,112.2222222,171.3333333,108,1.812167381,0.628539361,1.699673171,108,9
y,wamble3,31/08/2016,146.11702,-20.53824,0.3,22,2,4.3,28.7,15.7,27.3,0,0,0.7,0,0.7,0.3,0,0,300,300,14611702_02053824_20160831_000000,14611702_02053824_20160831_000000,l7tmre_p095r074_20160828_dbgm5.img,3,614.1111111,921.4444444,1222.222222,2430.777778,3451.888889,2637,24.13593192,48.1181673,96.50650845,119.1877863,196.6002399,207.6947547,120.1111111,128.8888889,149.4444444,109.6666667,4.039924214,2.997941681,3.370166864,109.6666667,9
y,vic2017021,7/03/2017,142.78917,-37.25803,0,0,0.5,0,0,57,42.5,0,0,0,0,0,0,0,0,200,200,14278917_03725803_20170307_000000,14278917_03725803_20170307_000000,l8olre_p094r086_20170309_dbgm4.img,2,737.6666667,1137.111111,1713.444444,2760.555556,3662.888889,2216.111111,31.86778241,47.77364323,75.60439598,98.97150107,71.99296948,46.6653439,103.7777778,109.6666667,185.3333333,108.2222222,1.749779528,1.054092553,2,108.2222222,9
y,hamcove01,31/01/2005,152.5144131,-27.29866296,0,9,0,0.5,86,2,2.5,0,0,0,0,0,0,0,0,200,200,15251441_02729866_20050131_000000,15251441_02729866_20050131_000000,l5tmre_p089r079_20050115_dbgm6.img,16,509.1111111,781.3333333,862.2222222,2488.777778,2779,1975,15.37996131,29.20045662,28.14951264,37.97887652,64.31174076,41.11771719,113.7777778,151.7777778,132.7777778,111.8888889,1.547598697,2.096440252,3.083208206,111.8888889,9
n,nsw062,19/04/2012,141.68472,-30.99866,0,17.3,2,8.7,23.7,35,7,6.3,0,0,0,0,0,0,0,300,300,14168472_03099866_20120419_000000,14168472_03099866_20120419_000000,l7tmre_p096r081_20120418_dbgm4.img,1,638.1111111,1008.666667,1229.777778,2742,2783.888889,1794.777778,25.42284382,37.2140953,79.23492184,104.1590664,127.1756829,86.37357849,114.1111111,135.2222222,149.3333333,110.4444444,5.321746673,2.858817851,5.868938954,110.4444444,9
y,goon0209,4/08/2009,150.2609227,-28.18570838,0,34,0,0,27.7,24.7,9,4.7,0,0,0,0,0,0,0,300,300,15026092_02818570_20090804_000000,15026092_02818570_20090804_000000,l5tmre_p091r079_20090804_dbgm6.img,0,545.6666667,795.7777778,939.6666667,2083.222222,2956.777778,2126.666667,47.01063709,54.29707947,55.22680509,90.83902463,102.2673813,130.6420045,109.8888889,135.3333333,153.3333333,111.6666667,3.142696805,5.497474167,3.80058475,111.6666667,9
y,wind15,16/04/2003,142.4615912,-24.70707917,0,35.3,0,3.6,2.6,31,27.4,0,0,0,0,0,0,0,0,303,303,14246159_02470707_20030416_000000,14246159_02470707_20030416_000000,l7tmre_p097r077_20030417_dbgm4.img,1,808.3333333,1312.555556,1818.555556,2214,3087.888889,2577.444444,31.65789352,45.68518143,65.20073468,83.61153562,111.0369753,87.23927646,151.3333333,100.2222222,147.3333333,108.2222222,3.771236166,0.41573971,3.80058475,108.2222222,9
n,QC15,18/05/2018,138.19357,-23.18764,3,63.7,0,2,0.3,19,13.3,1.7,2,1,0,0.3,1,0,1,300,300,13819357_02318764_20180518_000000,13819357_02318764_20180518_000000,l8olre_p099r076_20180518_dbgm4.img,0,547.5555556,1029.888889,2201.222222,3029.666667,4420.222222,3685.777778,17.40441267,70.3190261,223.8381249,158.3126302,263.3492728,239.0447554,110.6666667,127.6666667,106.6666667,,1.943650632,6.463573143,0.816496581,,9
y,suns0103,26/11/2010,153.1011905,-25.95226119,91.6,0,3,0,9,0,87.7,0.3,21.3,3,0.3,96.7,87.3,0,2.3,300,300,15310119_02595226_20101126_120000,15310119_02595226_20101126_120000,l5tmre_p089r078_20101215_dbgm6.img,19,528.4444444,749.8888889,611.3333333,3612.555556,1542.666667,715.8888889,90.54785243,79.45431174,87.10785141,70.98843585,81.16923336,82.80424633,108.5555556,174.7777778,115.7777778,116.5555556,4.499657051,3.735052514,3.583225666,116.5555556,9
y,quil29,27/10/2002,143.9067306,-26.79431655,0,34.7,16.7,21.3,0,2.7,24,0.7,0,0,0,6.3,0,3,0,300,300,14390673_02679431_20021027_000000,14390673_02679431_20021027_000000,l7tmre_p095r079_20021025_dbgm5.img,2,610.1111111,1101.555556,1846,2543.444444,3644.888889,3188.555556,26.35840344,25.61731667,69.54774539,53.91580084,84.99862018,101.0006723,154,107,137.7777778,107.8888889,3.651483717,1.763834207,2.819683898,107.8888889,9
y,fg22,13/09/2016,141.70079,-31.07622,0.3,40.7,1,34,10,5.3,4.3,4.7,0.3,0.3,0,0,0,0,0,300,300,14170079_03107622_20160914_000000,14170079_03107622_20160914_000000,l8olre_p096r081_20160912_dbgm4.img,1,942.7777778,1579.666667,2298.555556,3061.777778,4183,3549.777778,77.79856865,126.542922,167.0895376,161.1381586,244.511304,233.5992664,162.8888889,102.2222222,133.1111111,106,5.384018418,1.872477727,4.12160822,106,9
y,rfs004,8/05/2018,151.16551,-33.68873,77.2,0,0.7,2,17,1,79,0.3,13,9,2.7,97.7,43,0.3,43,300,300,15116551_03368873_20180508_000000,15116551_03368873_20180508_000000,l8olre_p089r083_20180324_dbgm6.img,45,164.4444444,262.2222222,249.1111111,1984.444444,1043.222222,453.6666667,12.45535236,12.06259395,24.95081582,157.9402919,89.12385611,70.21554117,169.6666667,128.1111111,126.5555556,,6.565905201,5.820355935,1.165343165,,9
y,kynu13,14/07/2002,142.02351,-20.19895,0,47.5,18.8,0,0,5.9,27.7,0,0,0,0,0,0,0,0,202,202,14202351_02019895_20020714_000000,14202351_02019895_20020714_000000,l7tmre_p097r074_20020719_dbgm4.img,5,959.1111111,1420.888889,1851.777778,2324.888889,2852.888889,2431.555556,30.24508939,37.42383211,62.30886824,41.1162159,70.62490031,52.21347444,158.7777778,104.7777778,134.8888889,108,4.779069593,2.298684541,6.505458297,108,9
y,chat24,2/04/2005,146.0051136,-19.46422197,0.3,46.5,2,7,0.7,33.8,10,0,0.3,0.7,0,0,0,0,0,299,299,14600511_01946422_20050402_000000,14600511_01946422_20050402_000000,l5tmre_p095r073_20050331_dbgm5.img,2,647.4444444,1038.333333,1492.666667,2088.333333,2738.777778,2213.666667,19.47711541,23.68778401,37.69467985,83.55171386,101.805673,85.97674104,144.2222222,108.2222222,146,109.7777778,4.236816881,1.39664501,4.496912521,109.7777778,9
y,kynu01,12/07/2002,142.927778,-21.83977776,0,60.9,2,0.3,17.2,19.5,0,0,0,0,0,0,0,0,0,302,302,14292777_02183977_20020712_000000,14292777_02183977_20020712_000000,l7tmre_p096r075_20020712_dbgm4.img,0,908.4444444,1386.111111,1821.444444,2247.222222,2843.333333,2426.555556,40.06137267,58.60687188,38.20736145,53.36827559,87.43124283,98.85579971,158.4444444,103,137,108.2222222,3.130889512,0.666666667,3.527668415,108.2222222,9
y,suns0104,12/11/2015,153.056735,-26.001571,38.6,25.3,0.3,0.3,13.7,2,58,0.3,24,1.7,0.3,32,19.3,0.3,0.7,300,300,15305673_02600157_20151112_201200,15305673_02600157_20151112_201200,l8olre_p090r078_20151118_dbgm6.img,6,783.5555556,981.8888889,1065.555556,2784.777778,2425.666667,1797.222222,63.00460497,70.22573831,69.63254525,85.34085615,109.9302809,90.10336999,132.2222222,146.4444444,120.1111111,111.1111111,3.614101326,3.269764215,1.448711646,111.1111111,9
y,nam-026,27/06/2012,149.3905433,-30.27031275,1,2.3,0,0,26.7,59,12,0,1,0.3,0,0,0,0,0,300,300,14939054_03027031_20120627_100000,14939054_03027031_20120627_100000,l7tmre_p091r081_20120703_dbgm5.img,6,472.2222222,656.1111111,966.7777778,1668.888889,2896.666667,1831,35.66130108,30.99263154,46.39630679,64.6502461,149.588324,77.01370729,107.2222222,116,175.8888889,113,3.48895966,2.748737084,3.034777841,113,9
y,chat11,1/04/2004,145.5937713,-20.03254399,0,10,0,0,61.5,11.5,17,0,0,0,0,11.5,0,3,0,200,200,14559377_02003254_20040401_000000,14559377_02003254_20040401_000000,l5tmre_p095r074_20040412_dbgm5.img,11,456.7777778,723.4444444,980.6666667,1958,2482,1853.333333,18.86665358,28.66322115,37.35713527,27.12522401,76.22772899,70.73424442,121,127.3333333,150,112.4444444,4.082482905,2.708012802,2.788866755,112.4444444,9
y,tulun01,5/05/2005,152.5399116,-27.2737234,0.5,0.5,0,0,55.5,43,1,0,0.5,0,0,0.5,0,0,0.5,200,200,15253991_02727372_20050505_000000,15253991_02727372_20050505_000000,l5tmre_p090r079_20050428_dbgm6.img,7,255.7777778,534.6666667,670.3333333,1390.777778,2523.444444,1493.888889,20.77807486,24.73414195,22.90560339,51.65866127,43.80794223,69.3789024,100.5555556,125.6666667,173,116,0.831479419,2.666666667,3.333333333,116,9
y,alverley01,31/01/2005,152.523712,-27.29828867,0,0,0,0,68.5,31,0.5,0,0,0,0,0,0,0,0,200,200,15252371_02729828_20050131_000000,15252371_02729828_20050131_000000,l7tmre_p090r079_20050215_dbgm6.img,15,324.7777778,566.4444444,547.7777778,2655.555556,2125.222222,1011.888889,30.45133742,16.20089923,9.589088449,157.4407198,12.62077456,46.56523368,100,169.3333333,129.8888889,116,0,3.12694384,3.348115372,116,9
n,shensat08,24/07/2016,133.65482,-16.57475,49.4,7,0,0,0,23.3,67,2.7,3,0,0.7,67.3,41.3,1.3,14,300,300,13365482_01657475_20160724_000000,13365482_01657475_20160724_000000,l8olre_p103r071_20160727_dbgm3.img,3,357.4444444,543.2222222,620.3333333,1690.111111,1996.333333,1119.333333,12.73761805,19.34929099,20.56966483,58.58980655,52.64556539,44.07821331,100,140.1111111,159.5555556,116.7777778,0,1.911627837,1.706921277,116.7777778,9
y,mac017,27/05/2015,147.50471,-30.80111,30,12.7,2.7,0,23,5,56.3,0.3,3,1.7,0,52.3,24.3,0.3,13.7,300,300,14750471_03080111_20150528_051100,14750471_03080111_20150528_051100,l7tmre_p092r081_20150602_dbgm5.img,6,232.3333333,452,489.4444444,2369,1698.555556,908.1111111,44.94193785,44.59945191,69.43279902,104.3338658,137.2889177,99.15469894,102.7777778,161.1111111,134.4444444,118.6666667,2.298684541,7.430334888,8.920776139,118.6666667,9
y,adav0104,23/10/2008,144.5563681,-26.0409516,20.7,67,0,0,2,0,30.3,1,8.7,1,0,22,13,0.7,3.7,300,300,14455636_02604095_20081023_000000,14455636_02604095_20081023_000000,l7tmre_p095r078_20081025_dbgm5.img,2,538.4444444,1018.111111,1831.666667,2805.222222,3365.888889,2909.777778,24.8601024,59.87662212,111.5805638,120.5466971,217.7870746,213.8612103,152,117.2222222,129.2222222,107.8888889,3.590109871,1.39664501,3.424674446,107.8888889,9
y,ariz15,7/04/2003,140.5339264,-19.33371616,0.5,18.9,0,13.4,42.3,13.4,11.9,0,0.5,0,0,4,0,0.5,0,201,201,14053392_01933371_20030407_000000,14053392_01933371_20030407_000000,l7tmre_p098r073_20030408_dbgm4.img,1,454,749,1090.555556,2113,2497,1760.666667,33.26993972,20.60204952,27.85721973,65.86855598,67.99836599,62.71629241,121.7777778,125.5555556,151.3333333,112.1111111,1.547598697,2.165954299,2.260776661,112.1111111,9
y,tulun03,31/01/2005,152.532241,-27.27420354,0,2,0,0,76,21.5,0.5,0,0,0,0,0,0,0,0,200,200,15253224_02727420_20050131_000000,15253224_02727420_20050131_000000,l5tmre_p090r079_20050207_dbgm6.img,7,441,692.8888889,586.2222222,2800.777778,2117.333333,909.1111111,19.49358869,34.58144796,17.10605986,25.95199747,23.19003617,29.02276671,100,176.1111111,123.1111111,115.7777778,0,3.984538017,3.813556067,115.7777778,9
y,stateforest3,10/05/2016,151.08481,-24.99017,43.7,0,2.7,0,15.3,8.3,73.7,0,1.3,0.3,0,72.7,36.3,0.3,15.7,300,300,15108481_02499017_20160511_031300,15108481_02499017_20160511_031300,l8olre_p091r077_20160519_dbgm6.img,9,253.3333333,426.2222222,504.8888889,2969.888889,1871.666667,923,40.1967384,58.81945592,94.12691721,122.7666662,251.4252705,210.3140509,100.3333333,161.5555556,137.1111111,117.8888889,0.666666667,3.269764215,3.177855477,117.8888889,9
